m(WR) 100 m(WR)/2 m(WR)-100
200 1.13 1.13 1.13
400 1.15 1.15 1.16
600 1.17 1.19 1.17
800 1.19 1.19 1.20
1000 1.21 1.21 1.21
1200 1.23 1.23 1.24
1400 1.24 1.25 1.25
1600 1.24 1.26 1.26
1800 1.25 1.28 1.28
2000 1.27 1.29 1.28
2200 1.29 1.30 1.30
2400 1.30 1.32 1.31
2600 1.30 1.33 1.33
2800 1.31 1.34 1.34
3000 1.33 1.36 1.36
3200 1.35 1.37 1.37
3400 1.35 1.39 1.38
3600 1.35 1.40 1.39
3800 1.36 1.42 1.40
4000 1.35 1.43 1.40
4200 1.34 1.43 1.40
4400 1.33 1.43 1.40
4600 1.32 1.43 1.40
4800 1.30 1.43 1.40
5000 1.30 1.43 1.40
5200 1.30 1.43 1.40
5400 1.29 1.42 1.41
5600 1.27 1.42 1.41
5800 1.26 1.42 1.42
6000 1.26 1.42 1.43
6200 1.26 1.42 1.44
6400 1.26 1.43 1.46
6600 1.25 1.45 1.48
6800 1.25 1.47 1.50
7000 1.25 1.49 1.51
